Paper,Date,Category,Task,Task details,Architecture,Loss,Dependent Variable,Scaling Variable 1,Scaling Variable 2,Type,Functional form,Exponent 1,Exponent 2,Irreducible loss,Parameter values,Compute range (FLOP),,Data range (mixed),,Data unit,Size range (parameters),,Additional Conditions,Scaling strategy
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Funnel Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.22,,,,1.10E+12,4.03E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Funnel Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.38,,,,1.10E+12,4.03E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Funnel Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.18,,,,1.10E+12,4.03E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Funnel Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.46,,,,1.10E+12,4.03E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,ALBERT,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.08,,,,3.57E+12,3.16E+13,,,,1.50E+07,3.40E+07,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,ALBERT,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,-0.12,,,,3.57E+12,3.16E+13,,,,1.50E+07,3.40E+07,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,ALBERT,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.13,,,,3.57E+12,3.16E+13,,,,1.50E+07,3.40E+07,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,ALBERT,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,-0.21,,,,3.57E+12,3.16E+13,,,,1.50E+07,3.40E+07,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,ALBERT,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,-1.67,,,,3.57E+12,3.16E+13,,,,1.50E+07,3.40E+07,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MoS-Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.43,,,,1.29E+12,1.12E+14,,,,2.70E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MoS-Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.21,,,,1.29E+12,1.12E+14,,,,2.70E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MoS-Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.43,,,,1.29E+12,1.12E+14,,,,2.70E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MoS-Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.2,,,,1.29E+12,1.12E+14,,,,2.70E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MoS-Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.47,,,,1.29E+12,1.12E+14,,,,2.70E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,GLU-Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.49,,,,1.29E+12,6.13E+13,,,,2.60E+07,2.85E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,GLU-Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.24,,,,1.29E+12,6.13E+13,,,,2.60E+07,2.85E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,GLU-Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.42,,,,1.29E+12,6.13E+13,,,,2.60E+07,2.85E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,GLU-Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.22,,,,1.29E+12,6.13E+13,,,,2.60E+07,2.85E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,GLU-Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.46,,,,1.29E+12,6.13E+13,,,,2.60E+07,2.85E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,LConv,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.32,,,,1.20E+12,7.70E+13,,,,1.70E+07,2.30E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,LConv,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.13,,,,1.20E+12,7.70E+13,,,,1.70E+07,2.30E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,LConv,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.29,,,,1.20E+12,7.70E+13,,,,1.70E+07,2.30E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,LConv,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.11,,,,1.20E+12,7.70E+13,,,,1.70E+07,2.30E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,LConv,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.48,,,,1.20E+12,7.70E+13,,,,1.70E+07,2.30E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,DConv,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,,,,,1.39E+12,7.80E+13,,,,2.20E+07,1.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,DConv,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,,,,,1.39E+12,7.80E+13,,,,2.20E+07,1.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,DConv,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,,,,,1.39E+12,7.80E+13,,,,2.20E+07,1.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,DConv,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,,,,,1.39E+12,7.80E+13,,,,2.20E+07,1.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,DConv,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,,,,,1.39E+12,7.80E+13,,,,2.20E+07,1.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MLP-Mixer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.32,,,,3.83E+12,4.83E+13,,,,6.70E+07,2.86E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MLP-Mixer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,-0.03,,,,3.83E+12,4.83E+13,,,,6.70E+07,2.86E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MLP-Mixer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.26,,,,3.83E+12,4.83E+13,,,,6.70E+07,2.86E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MLP-Mixer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.65,,,,3.83E+12,4.83E+13,,,,6.70E+07,2.86E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,MLP-Mixer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,-0.02,,,,3.83E+12,4.83E+13,,,,6.70E+07,2.86E+09,,
Understanding Scaling Laws for Recommendation Models,17 Aug 2022,Recommendation,Click-Through Rate prediction,,DLRM,Normalized Cross-Entropy,Loss,Data,,Power law plus constant,L(D) = BD^-b + E,0.1,,0.97,"B=0.07, b=0.1, E=0.98",1.00E+14,5.00E+18,5.00E+06,5.12E+09,Datapoints,4.00E+06,5.00E+11,,
Understanding Scaling Laws for Recommendation Models,17 Aug 2022,Recommendation,Click-Through Rate prediction,,DLRM,Normalized Cross-Entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^a + E,4,,0.98,"A=0.25, a=4, E=0.98",1.00E+14,5.00E+18,5.00E+06,5.12E+09,Datapoints,4.00E+06,5.00E+11,,Several
Understanding Scaling Laws for Recommendation Models,17 Aug 2022,Recommendation,Click-Through Rate prediction,,DLRM,Normalized Cross-Entropy,Loss,Compute,,Power law plus constant,L(C) = KC^c + E,0.14,,0.98,"K=0.11, c=0.14, E=0.98",1.00E+14,5.00E+18,5.00E+06,5.12E+09,Datapoints,4.00E+06,5.00E+11,,
Scaling Laws for Transfer,2 Feb 2021,"Transfer, Language",Python generation,Transfer from text,Decoder-only Transformer,Cross-entropy,Data Transferred,Parameters,Finetuning data,Bivariate power law - product,"Dt(Df, N) = AN^a Df^b",0.38,0.18,,"A=1.9e4, a=0.38, b=0.18",,,4.00E+06,2.00E+09,Characters,1.00E+05,1.00E+09,Pretraining until convergence,
Scaling Laws for Transfer,2 Feb 2021,"Transfer, Language",Python generation,Transfer from text+code,Decoder-only Transformer,Cross-entropy,Data Transferred,Parameters,Finetuning data,Bivariate power law - product,"Dt(Df, N) = AN^a Df^b",0.38,0.096,,"A=2.1e5, a=0.38, b=0.096",,,4.00E+06,9.00E+08,Characters,1.00E+05,2.00E+08,Pretraining until convergence,
Scaling Laws for Neural Machine Translation,16 Sep 2021,Language,Translation,En-De,Encoder-Decoder Transformer,Cross-entropy,Loss,Encoder Parameters,Decoder Parameters,Bivariate power law plus constant - product,"L(Ne, Nd) = ANe^-ae Nd^-ad + E",,,,,,,,,,1.91E+08,3.05E+09,,Depth scaling
Data and Parameter Scaling Laws for Neural Machine Translation,1 Nov 2021,Language,Translation,Ru-En,Encoder-Decoder Transformer,Cross-entropy,Loss,Parameters,Data,Bivariate power law,"L(N,D) = [AN^(-a/b) + BD^-1]^b",0.11,0.38,,"A=522.3, a=0.11, B=9.95E+05, b=0.38",,,4.00E+04,5.00E+07,Lines of text,3.93E+05,5.60E+07,,
Data and Parameter Scaling Laws for Neural Machine Translation,1 Nov 2021,Language,Translation,De-En,Encoder-Decoder Transformer,Cross-entropy,Loss,Parameters,Data,Bivariate power law,"L(N,D) = [AN^(-a/b) + BD^-1]^b",0.13,0.35,,"A=1082 , a=0.13, B=6.80E+05, b=0.35",,,4.00E+04,5.00E+07,Lines of text,3.93E+05,5.60E+07,,
Data and Parameter Scaling Laws for Neural Machine Translation,1 Nov 2021,Language,Translation,Zh-En,Encoder-Decoder Transformer,Cross-entropy,Loss,Parameters,Data,Bivariate power law,"L(N,D) = [AN^(-a/b) + BD^-1]^b",0.12,0.43,,"A=258.1, a=0.12, B=3.38E+05, b=0.43",,,4.00E+04,5.00E+07,Lines of text,3.93E+05,5.60E+07,,
Broken Neural Scaling Laws,16 Oct 2022,Multiple,,,Multiple,Multiple,Loss,Any,,Smoothly broken power law,L(D) = E + (BX^-b_0) Prod_i=1^n (1+(X/D_i)^(1/f_i))^(-b_i*f_i),,,,,,,,,,,,,
Scaling Vision Transformers,8 Jun 2022,"Vision, Transfer",ImageNet,Fine-tuning,Vision Transformer,Accuracy,Loss,Compute,,Power law with transition,L(C) = K(C+C0)^-c + E,0.35,,0.09,"K=0.26, C0=0.01, c=0.35, E=0.09",2.13E+18,1.06272E+23,1.00E+08,1.00E+10,Images,5.40E+06,1.80E+09,,
Scaling Vision Transformers,8 Jun 2022,"Vision, Transfer",ImageNet,Linear 10-shot,Vision Transformer,Accuracy,Loss,Compute,,Power law with transition,L(C) = K(C+C0)^-c + E,0.32,,0.12,"K=0.63, C0=0.52, c=0.32, E=0.12",2.13E+18,1.06272E+23,1.00E+08,1.00E+10,Images,5.40E+06,1.80E+09,,
Scaling Laws for Acoustic Models,11 Jun 2021,Speech,Speech modeling,,Decoder-only Transformer,,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.016,,0.316,"A=0.41, a=0.016, E=0.316",4.32E+17,6.912E+19,1.00E+02,2.00E+04,Hours of speech,4.00E+05,2.00E+07,,
Scaling Laws for Acoustic Models,11 Jun 2021,Speech,Speech modeling,,Decoder-only Transformer,,Loss,Data,,Power law plus constant,L(D) = BD^-b + E,0.019,,0.316,"B=0.37, b=0.019, E=0.316",4.32E+17,6.912E+19,1.00E+02,2.00E+04,Hours of speech,4.00E+05,2.00E+07,,
Scaling Scaling Laws with Board Games,7 Apr 2021,"Games, RL",Hex,,AlphaZero,Elo,Loss,Compute,Board size,Logarithmic with transition,"L(D,Bs) = (Mi * Bs + K log C + ci).clamp(Mp * Bs + cp, 0)",,,,"Mi = -430, K=510, ci=-4400, Mp=-270, cp=570",1.00E+09,1.00E+17,,,,,,,
